,train_mae,train_mae_var,train_rmse,train_rmse_var,test_mae,test_mae_var,test_rmse,test_rmse_var,imp_Days_mean,imp_Days_std,imp_GDP_mean,imp_GDP_std,imp_approval_mean,imp_approval_std
lr,3.3933,0.4165790561226045,4.0787,0.5011300330253616,5.1539,1.7171854267958366,6.075899999999999,2.1389053719134,0.121,0.194,0.173,0.223,1.205,1.039
gradient_boost,1.3559999999999999,0.5149543669103118,3.9112,1.6227515398236418,4.7671,2.39982053287324,6.0738,3.353048398099854,0.584,0.441,0.043,0.031,0.207,0.14
