,train_mae,train_mae_var,train_rmse,train_rmse_var,test_mae,test_mae_var,test_rmse,test_rmse_var,imp_Days_mean,imp_Days_std,imp_GDP_mean,imp_GDP_std,imp_approval_mean,imp_approval_std
lr,3.8183,0.48572431481242523,4.7487,0.6735408747804397,5.3843000000000005,2.096287792742208,6.6217,2.519260230702656,0.198,0.158,0.25,0.208,0.575,0.425
dt,2.1092,0.6341698195278611,2.7710000000000004,0.7625922894968188,4.837000000000001,2.121999293119581,6.0692,2.9497863244648754,1.633,1.174,0.0,0.0,0.0,0.0
rf,3.0351999999999997,0.4544413713560859,4.580000000000001,1.0049338286673406,4.7502,1.710147350376569,6.001799999999999,2.739035370344823,0.653,0.442,0.001,0.038,0.56,0.323
bag_lr,3.8011,0.4701869734477977,4.797899999999999,0.6658202385028559,5.2143,1.9316300137448683,6.3875,2.340867520813598,0.259,0.187,0.247,0.207,0.48,0.343
bag_dt,2.2747,0.31496175958360406,3.1793999999999993,0.5865403992906201,4.736800000000001,1.6252488301795514,6.070000000000001,2.5716068906425025,0.474,0.287,0.156,0.088,0.243,0.152
adaboost_lr,3.5979,0.7229181073952982,4.430999999999999,1.0073971411513931,6.1162,2.3912757181052964,7.331299999999999,2.863376557492919,0.093,0.087,-0.074,0.052,1.138,0.501
adaboost_dt,1.2789000000000001,0.7485077087111394,2.2457000000000003,1.03409985494632,5.472499999999999,2.368275480175395,7.389100000000001,3.7988177358225546,1.003,0.752,-0.002,0.004,0.816,0.671
gradient_boost,1.5740000000000003,0.519014450665875,4.4449000000000005,1.6041867067146516,4.6696,1.6095924453103025,5.9187,2.4505038889991586,0.611,0.372,0.32,0.249,0.038,0.11
